Fach 1;Lfd. Nr.;Fach 1;Fach 2;Datum / Uhrzeit;Kollisionen;Abstand
;23;Bauproduktionstechnik.--.601923060.--.192.--.BB;Lean Construction.--.601927030.--.192.--.BB;Kein Datum gef;1;
;24;Bauproduktionstechnik.--.601923060.--.192.--.BB;Ingenieurholzbau I.--.601924030.--.192.--.BB;Kein Datum gef;8;
;25;Bauproduktionstechnik.--.601923060.--.192.--.BB;Wirtschaft und Management.--.601921070.--.192.--.BB;Kein Datum gef;2;
;26;Bauproduktionstechnik.--.601923060.--.192.--.BB;Geotechnik III.--.601924010.--.192.--.BB;Kein Datum gef;6;
;27;Bauproduktionstechnik.--.601923060.--.192.--.BB;Stahlbetonbau II.--.601926030.--.192.--.BB;Kein Datum gef;1;
;28;Bauproduktionstechnik.--.601923060.--.192.--.BB;Geotechnik IV.--.601927010.--.192.--.BB;Kein Datum gef;1;
;29;Bauproduktionstechnik.--.601923060.--.192.--.BB;Geotechnik II.--.601923020.--.192.--.BB;Kein Datum gef;45;
;30;Bauproduktionstechnik.--.601923060.--.192.--.BB;Nachhaltigkeitsmanagement.--.17270.--.192.--.BB;Kein Datum gef;1;
;31;Bauproduktionstechnik.--.601923060.--.192.--.BB;Siedlungswasserwirtschaft I.--.601924050.--.192.--.BB;Kein Datum gef;4;
;32;Bauproduktionstechnik.--.601923060.--.192.--.BB;Bauphysik.--.601921060.--.192.--.BB;Kein Datum gef;1;
;33;Bauproduktionstechnik.--.601923060.--.192.--.BB;Baustoffkunde II.--.601922030.--.192.--.BB;Kein Datum gef;1;
;34;Bauproduktionstechnik.--.601923060.--.192.--.BB;Projektbasierte Produktion.--.601926030.--.192.--.BB;Kein Datum gef;1;
;35;Bauproduktionstechnik.--.601923060.--.192.--.BB;Mathematik II.--.601922010.--.192.--.BB;Kein Datum gef;1;
;36;Bauproduktionstechnik.--.601923060.--.192.--.BB;Verkehrswesen II.--.601924040.--.192.--.BB;Kein Datum gef;6;
;37;Bauproduktionstechnik.--.601923060.--.192.--.BB;Innovative Bauverfahren im Straßenbau.--.17210.--.192.--.BB;Kein Datum gef;1;
;38;Bauproduktionstechnik.--.601923060.--.192.--.BB;Arbeitsschutz.--.601925011.--.192.--.BB;Kein Datum gef;4;
;39;Bauproduktionstechnik.--.601923060.--.192.--.BB;Wasserwesen.--.601923050.--.192.--.BB;Kein Datum gef;40;
Bauprozesse.--.982121020.--.212.--.BPM;;;;Kein Datum gef;;
;1;Bauprozesse.--.982121020.--.212.--.BPM;Immobilienmanagement.--.982121030.--.212.--.BPM;Kein Datum gef;20;
Baustatik I.--.601923010.--.192.--.BB;;;;Kein Datum gef;;
;1;Baustatik I.--.601923010.--.192.--.BB;Baubetriebswirtschaft.--.601927020.--.192.--.BB;Kein Datum gef;1;
;2;Baustatik I.--.601923010.--.192.--.BB;Wasserwirtschaft und Wasserbau I.--.601924060.--.192.--.BB;Kein Datum gef;15;
;3;Baustatik I.--.601923010.--.192.--.BB;Baubetriebsführung.--.601926050.--.192.--.BB;Kein Datum gef;1;
;4;Baustatik I.--.601923010.--.192.--.BB;Verkehrswesen IV.--.601927020.--.192.--.BB;Kein Datum gef;1;
;5;Baustatik I.--.601923010.--.192.--.BB;Schalung und Rüstung.--.17240.--.192.--.BB;Kein Datum gef;2;
;6;Baustatik I.--.601923010.--.192.--.BB;Wahlpflichtfach Baumanagement.--.601927050.--.192.--.BB;Kein Datum gef;1;
;7;Baustatik I.--.601923010.--.192.--.BB;Stahlbetonbau I.--.601924020.--.192.--.BB;Kein Datum gef;10;
;8;Baustatik I.--.601923010.--.192.--.BB;Abfallwirtschaft/-technik.--.17170.--.192.--.BB;Kein Datum gef;1;
;9;Baustatik I.--.601923010.--.192.--.BB;Planung und Konstruktion I.--.601926020.--.192.--.BB;Kein Datum gef;2;
;10;Baustatik I.--.601923010.--.192.--.BB;Bauproduktionstechnik.--.601923060.--.192.--.BB;Kein Datum gef;41;
;11;Baustatik I.--.601923010.--.192.--.BB;Baubetriebsplanung.--.601924070.--.192.--.BB;Kein Datum gef;11;
;12;Baustatik I.--.601923010.--.192.--.BB;Geotechnik I.--.601922040.--.192.--.BB;Kein Datum gef;1;
;13;Baustatik I.--.601923010.--.192.--.BB;Baubetriebswirtschaft I.--.601926040.--.192.--.BB;Kein Datum gef;2;
;14;Baustatik I.--.601923010.--.192.--.BB;Stahlbau I.--.601923030.--.192.--.BB;Kein Datum gef;46;
;15;Baustatik I.--.601923010.--.192.--.BB;Lean Construction.--.601927030.--.192.--.BB;Kein Datum gef;1;
;16;Baustatik I.--.601923010.--.192.--.BB;Ingenieurholzbau I.--.601924030.--.192.--.BB;Kein Datum gef;15;
;17;Baustatik I.--.601923010.--.192.--.BB;Wirtschaft und Management.--.601921070.--.192.--.BB;Kein Datum gef;3;
;18;Baustatik I.--.601923010.--.192.--.BB;Geotechnik III.--.601924010.--.192.--.BB;Kein Datum gef;15;
;19;Baustatik I.--.601923010.--.192.--.BB;Geotechnik II.--.601923020.--.192.--.BB;Kein Datum gef;42;
;20;Baustatik I.--.601923010.--.192.--.BB;Nachhaltigkeitsmanagement.--.17270.--.192.--.BB;Kein Datum gef;2;
;21;Baustatik I.--.601923010.--.192.--.BB;Siedlungswasserwirtschaft I.--.601924050.--.192.--.BB;Kein Datum gef;12;
;22;Baustatik I.--.601923010.--.192.--.BB;Projektbasierte Produktion.--.601926030.--.192.--.BB;Kein Datum gef;1;
;23;Baustatik I.--.601923010.--.192.--.BB;Verkehrswesen II.--.601924040.--.192.--.BB;Kein Datum gef;12;
;24;Baustatik I.--.601923010.--.192.--.BB;Innovative Bauverfahren im Straßenbau.--.17210.--.192.--.BB;Kein Datum gef;1;
;25;Baustatik I.--.601923010.--.192.--.BB;Arbeitsschutz.--.601925011.--.192.--.BB;Kein Datum gef;14;
;26;Baustatik I.--.601923010.--.192.--.BB;Wasserwesen.--.601923050.--.192.--.BB;Kein Datum gef;43;
Baustatik II.--.601926020.--.192.--.BB;;;;Kein Datum gef;;
;1;Baustatik II.--.601926020.--.192.--.BB;Betoninstandsetzung.--.17260.--.192.--.BB;Kein Datum gef;17;
;2;Baustatik II.--.601926020.--.192.--.BB;Spannbetonbau.--.601927030.--.192.--.BB;Kein Datum gef;5;
;3;Baustatik II.--.601926020.--.192.--.BB;Geotechnik III.--.601924010.--.192.--.BB;Kein Datum gef;1;
;4;Baustatik II.--.601926020.--.192.--.BB;Ingenieurholzbau II.--.601927020.--.192.--.BB;Kein Datum gef;7;
;5;Baustatik II.--.601926020.--.192.--.BB;Stahlbetonbau II.--.601926030.--.192.--.BB;Kein Datum gef;15;
;6;Baustatik II.--.601926020.--.192.--.BB;Geotechnik IV.--.601927010.--.192.--.BB;Kein Datum gef;4;
;7;Baustatik II.--.601926020.--.192.--.BB;Wasserwirtschaft und Wasserbau I.--.601924060.--.192.--.BB;Kein Datum gef;1;
;8;Baustatik II.--.601926020.--.192.--.BB;Betontechnologie.--.17280.--.192.--.BB;Kein Datum gef;5;
;9;Baustatik II.--.601926020.--.192.--.BB;Schalung und Rüstung.--.17240.--.192.--.BB;Kein Datum gef;7;
;10;Baustatik II.--.601926020.--.192.--.BB;Wahlpflichtfach Konstruktiver Ingenieurbau.--.601927050.--.192.--.BB;Kein Datum gef;6;
;11;Baustatik II.--.601926020.--.192.--.BB;Nachhaltigkeitsmanagement.--.17270.--.192.--.BB;Kein Datum gef;1;
;12;Baustatik II.--.601926020.--.192.--.BB;Verkehrswesen II.--.601924040.--.192.--.BB;Kein Datum gef;1;
;13;Baustatik II.--.601926020.--.192.--.BB;Innovative Bauverfahren im Straßenbau.--.17210.--.192.--.BB;Kein Datum gef;1;
;14;Baustatik II.--.601926020.--.192.--.BB;Stahlbau II.--.601926040.--.192.--.BB;Kein Datum gef;16;
;15;Baustatik II.--.601926020.--.192.--.BB;Detailbereiche im Stahlbetonbau.--.17130.--.192.--.BB;Kein Datum gef;6;
Baustatik.--.642013030.--.201.--.WBI;;;;Kein Datum gef;;
;1;Baustatik.--.642013030.--.201.--.WBI;Arbeitsschutz.--.642014060.--.201.--.WBI;Kein Datum gef;3;
;2;Baustatik.--.642013030.--.201.--.WBI;Baumanagement III.--.642014030.--.201.--.WBI;Kein Datum gef;3;
;3;Baustatik.--.642013030.--.201.--.WBI;Baumanagement 1.--.642012040.--.201.--.WBI;Kein Datum gef;8;
;4;Baustatik.--.642013030.--.201.--.WBI;Nachhaltige und ressourceneffiziente Geschossbauten.--.17160.--.201.--.WBI;Kein Datum gef;1;
;5;Baustatik.--.642013030.--.201.--.WBI;Recht II.--.642016030.--.201.--.WBI;Kein Datum gef;1;
;6;Baustatik.--.642013030.--.201.--.WBI;Architektur und Städtebau.--.642013010.--.201.--.WBI;Kein Datum gef;24;
;7;Baustatik.--.642013030.--.201.--.WBI;Konstruktiver Ingenieurbau.--.642014010.--.201.--.WBI;Kein Datum gef;3;
;8;Baustatik.--.642013030.--.201.--.WBI;Energietechnik II.--.642016020.--.201.--.WBI;Kein Datum gef;1;
;9;Baustatik.--.642013030.--.201.--.WBI;Investition und Finanzierung.--.642014040.--.201.--.WBI;Kein Datum gef;4;
;10;Baustatik.--.642013030.--.201.--.WBI;Schlüsselfertigbau.--.642014050.--.201.--.WBI;Kein Datum gef;5;
;11;Baustatik.--.642013030.--.201.--.WBI;Baumanagement II.--.642013040.--.201.--.WBI;Kein Datum gef;24;
;12;Baustatik.--.642013030.--.201.--.WBI;Baukonstruktion und Brandschutz.--.642013020.--.201.--.WBI;Kein Datum gef;26;
;13;Baustatik.--.642013030.--.201.--.WBI;Betriebswirtschaft.--.642011050.--.201.--.WBI;Kein Datum gef;1;
;14;Baustatik.--.642013030.--.201.--.WBI;Rechnungswesen.--.642012050.--.201.--.WBI;Kein Datum gef;2;
;15;Baustatik.--.642013030.--.201.--.WBI;Wärmeschutz und Energietechnik I.--.642014020.--.201.--.WBI;Kein Datum gef;3;
;16;Baustatik.--.642013030.--.201.--.WBI;Bilanzierung und Steuerlehre.--.642013050.--.201.--.WBI;Kein Datum gef;19;
;17;Baustatik.--.642013030.--.201.--.WBI;Immobilenwirtschaft I.--.642013060.--.201.--.WBI;Kein Datum gef;24;
;18;Baustatik.--.642013030.--.201.--.WBI;Immobilienfinanzierung und-investition.--.17140.--.201.--.WBI;Kein Datum gef;1;
;19;Baustatik.--.642013030.--.201.--.WBI;Projektsteuerung/Projektmanagement in der Bau- und Immobilienwirtschaft.--.17190.--.201.--.WBI;Kein Datum gef;1;
Baustellenmanagement Projektmanagement.--.18130.--.222.--.IM;;;;Kein Datum gef;;
;1;Baustellenmanagement Projektmanagement.--.18130.--.222.--.IM;Energie 3.--.622225010.--.222.--.IM;Kein Datum gef;1;
;2;Baustellenmanagement Projektmanagement.--.18130.--.222.--.IM;Bahntechnik.--.19100.--.222.--.IM;Kein Datum gef;1;
;3;Baustellenmanagement Projektmanagement.--.18130.--.222.--.IM;Wirtschaftslehre 4.--.622226010.--.222.--.IM;Kein Datum gef;7;
;4;Baustellenmanagement Projektmanagement.--.18130.--.222.--.IM;Siedlungswasserwirtschaft.--.622225030.--.222.--.IM;Kein Datum gef;2;
;5;Baustellenmanagement Projektmanagement.--.18130.--.222.--.IM;Innovative Verfahren im Straßenbau.--.19140.--.222.--.IM;Kein Datum gef;2;
;6;Baustellenmanagement Projektmanagement.--.18130.--.222.--.IM;Brandschutz Projektmanagement.--.18100.--.222.--.IM;Kein Datum gef;5;
;7;Baustellenmanagement Projektmanagement.--.18130.--.222.--.IM;Verkehrsinfrastruktur 3.--.622226030.--.222.--.IM;Kein Datum gef;8;
;8;Baustellenmanagement Projektmanagement.--.18130.--.222.--.IM;Recht 2.--.622227020.--.222.--.IM;Kein Datum gef;1;
;9;Baustellenmanagement Projektmanagement.--.18130.--.222.--.IM;Abfallwirtschaft.--.622227050.--.222.--.IM;Kein Datum gef;1;
Baustellenmanagement.--.18130.--.162.--.VIS;;;;Kein Datum gef;;
;1;Baustellenmanagement.--.18130.--.162.--.VIS;Integriertes Arbeiten.--.3010.--.162.--.VIS;Kein Datum gef;1;
Baustoffe u. Geotechnik 1.--.622221060.--.222.--.IM;;;;Kein Datum gef;;
;1;Baustoffe u. Geotechnik 1.--.622221060.--.222.--.IM;Bau- und Immobilienwirtschaft.--.622222060.--.222.--.IM;Kein Datum gef;10;
;2;Baustoffe u. Geotechnik 1.--.622221060.--.222.--.IM;Physik für Ingenieure.--.622221040.--.222.--.IM;Kein Datum gef;47;
;3;Baustoffe u. Geotechnik 1.--.622221060.--.222.--.IM;Mathematik 2.--.622222010.--.222.--.IM;Kein Datum gef;2;
;4;Baustoffe u. Geotechnik 1.--.622221060.--.222.--.IM;Projektmanagement und -entwicklung 1.--.622222050.--.222.--.IM;Kein Datum gef;9;
;5;Baustoffe u. Geotechnik 1.--.622221060.--.222.--.IM;Mathematik 1.--.622221010.--.222.--.IM;Kein Datum gef;36;
;6;Baustoffe u. Geotechnik 1.--.622221060.--.222.--.IM;Einführung in die Informatik.--.622221020.--.222.--.IM;Kein Datum gef;44;
;7;Baustoffe u. Geotechnik 1.--.622221060.--.222.--.IM;Verkehrsinfrastruktur 1.--.622222030.--.222.--.IM;Kein Datum gef;5;
;8;Baustoffe u. Geotechnik 1.--.622221060.--.222.--.IM;Energie 1.--.622222040.--.222.--.IM;Kein Datum gef;6;
;9;Baustoffe u. Geotechnik 1.--.622221060.--.222.--.IM;Baustoffe u. Geotechnik 2.--.622222020.--.222.--.IM;Kein Datum gef;6;
;10;Baustoffe u. Geotechnik 1.--.622221060.--.222.--.IM;Wirtschaftslehre 1.--.622221050.--.222.--.IM;Kein Datum gef;49;
Baustoffe u. Geotechnik 2.--.622222020.--.222.--.IM;;;;Kein Datum gef;;
;1;Baustoffe u. Geotechnik 2.--.622222020.--.222.--.IM;Energie 2 - Netzgebundene Energien.--.622223020.--.222.--.IM;Kein Datum gef;4;
;2;Baustoffe u. Geotechnik 2.--.622222020.--.222.--.IM;Wirtschaftslehre 2.--.622223080.--.222.--.IM;Kein Datum gef;5;
;3;Baustoffe u. Geotechnik 2.--.622222020.--.222.--.IM;Verkehrsinfrastruktur 2.--.622223060.--.222.--.IM;Kein Datum gef;4;
;4;Baustoffe u. Geotechnik 2.--.622222020.--.222.--.IM;Baustoffe u. Geotechnik 1.--.622221060.--.222.--.IM;Kein Datum gef;6;
;5;Baustoffe u. Geotechnik 2.--.622222020.--.222.--.IM;Physik für Ingenieure.--.622221040.--.222.--.IM;Kein Datum gef;11;
;6;Baustoffe u. Geotechnik 2.--.622222020.--.222.--.IM;Mathematik 1.--.622221010.--.222.--.IM;Kein Datum gef;10;
;7;Baustoffe u. Geotechnik 2.--.622222020.--.222.--.IM;Einführung in die Informatik.--.622221020.--.222.--.IM;Kein Datum gef;3;
;8;Baustoffe u. Geotechnik 2.--.622222020.--.222.--.IM;Projektmanagement und -entwicklung 2.--.622223070.--.222.--.IM;Kein Datum gef;4;
;9;Baustoffe u. Geotechnik 2.--.622222020.--.222.--.IM;Recht 1.--.622223040.--.222.--.IM;Kein Datum gef;4;
;10;Baustoffe u. Geotechnik 2.--.622222020.--.222.--.IM;Wirtschaftslehre 1.--.622221050.--.222.--.IM;Kein Datum gef;6;
;11;Baustoffe u. Geotechnik 2.--.622222020.--.222.--.IM;Wirtschaftsenglisch.--.622223092.--.222.--.IM;Kein Datum gef;5;
;12;Baustoffe u. Geotechnik 2.--.622222020.--.222.--.IM;Bau- und Immobilienwirtschaft.--.622222060.--.222.--.IM;Kein Datum gef;29;
;13;Baustoffe u. Geotechnik 2.--.622222020.--.222.--.IM;Mathematik 2.--.622222010.--.222.--.IM;Kein Datum gef;29;
;14;Baustoffe u. Geotechnik 2.--.622222020.--.222.--.IM;Arbeitsschutz.--.622224010.--.222.--.IM;Kein Datum gef;5;
;15;Baustoffe u. Geotechnik 2.--.622222020.--.222.--.IM;Projektmanagement und -entwicklung 1.--.622222050.--.222.--.IM;Kein Datum gef;32;
;16;Baustoffe u. Geotechnik 2.--.622222020.--.222.--.IM;Nachhaltigkeit, Umwelt, Verantwortung.--.622223010.--.222.--.IM;Kein Datum gef;5;
;17;Baustoffe u. Geotechnik 2.--.622222020.--.222.--.IM;Verkehrsinfrastruktur 1.--.622222030.--.222.--.IM;Kein Datum gef;27;
;18;Baustoffe u. Geotechnik 2.--.622222020.--.222.--.IM;Informations- und Kommunikationstechnik.--.622223030.--.222.--.IM;Kein Datum gef;5;
;19;Baustoffe u. Geotechnik 2.--.622222020.--.222.--.IM;Energie 1.--.622222040.--.222.--.IM;Kein Datum gef;29;
;20;Baustoffe u. Geotechnik 2.--.622222020.--.222.--.IM;Wasserfachliche Grundlagen.--.622223050.--.222.--.IM;Kein Datum gef;4;
Baustoffkunde I und Bauchemie.--.601921030.--.192.--.BB;;;;Kein Datum gef;;
;1;Baustoffkunde I und Bauchemie.--.601921030.--.192.--.BB;Betoninstandsetzung.--.17260.--.192.--.BB;Kein Datum gef;1;
;2;Baustoffkunde I und Bauchemie.--.601921030.--.192.--.BB;Wirtschaft und Management.--.601921070.--.192.--.BB;Kein Datum gef;1;
;3;Baustoffkunde I und Bauchemie.--.601921030.--.192.--.BB;Mechanik I.--.601921021.--.192.--.BB;Kein Datum gef;1;
;4;Baustoffkunde I und Bauchemie.--.601921030.--.192.--.BB;Mechanik I.--.601921020.--.192.--.BB;Kein Datum gef;1;
;5;Baustoffkunde I und Bauchemie.--.601921030.--.192.--.BB;Wirtschaft, Recht ud Management 2.--.601922060.--.192.--.BB;Kein Datum gef;2;
;6;Baustoffkunde I und Bauchemie.--.601921030.--.192.--.BB;Mathematik I.--.601921011.--.192.--.BB;Kein Datum gef;1;
;7;Baustoffkunde I und Bauchemie.--.601921030.--.192.--.BB;Mathematik I.--.601921010.--.192.--.BB;Kein Datum gef;1;
;8;Baustoffkunde I und Bauchemie.--.601921030.--.192.--.BB;Geotechnik II.--.601923020.--.192.--.BB;Kein Datum gef;1;
;9;Baustoffkunde I und Bauchemie.--.601921030.--.192.--.BB;Bauphysik.--.601921060.--.192.--.BB;Kein Datum gef;1;
;10;Baustoffkunde I und Bauchemie.--.601921030.--.192.--.BB;Mechanik II.--.601922020.--.192.--.BB;Kein Datum gef;1;
;11;Baustoffkunde I und Bauchemie.--.601921030.--.192.--.BB;Baustoffkunde II.--.601922030.--.192.--.BB;Kein Datum gef;3;
;12;Baustoffkunde I und Bauchemie.--.601921030.--.192.--.BB;Mathematik II.--.601922010.--.192.--.BB;Kein Datum gef;2;
;13;Baustoffkunde I und Bauchemie.--.601921030.--.192.--.BB;Vermessungskunde.--.601921050.--.192.--.BB;Kein Datum gef;1;
;14;Baustoffkunde I und Bauchemie.--.601921030.--.192.--.BB;Bauproduktionstechnik.--.601923060.--.192.--.BB;Kein Datum gef;1;
;15;Baustoffkunde I und Bauchemie.--.601921030.--.192.--.BB;Baubetriebsplanung.--.601924070.--.192.--.BB;Kein Datum gef;1;
;16;Baustoffkunde I und Bauchemie.--.601921030.--.192.--.BB;Geotechnik I.--.601922040.--.192.--.BB;Kein Datum gef;2;
;17;Baustoffkunde I und Bauchemie.--.601921030.--.192.--.BB;Baubetriebswirtschaft I.--.601926040.--.192.--.BB;Kein Datum gef;1;
Baustoffkunde I und Bauchemie.--.602411030.--.241.--.BB;;;;Kein Datum gef;;
;1;Baustoffkunde I und Bauchemie.--.602411030.--.241.--.BB;Vermessungskunde.--.602411050.--.241.--.BB;Kein Datum gef;95;
;2;Baustoffkunde I und Bauchemie.--.602411030.--.241.--.BB;Mathematik I.--.602411010.--.241.--.BB;Kein Datum gef;95;
;3;Baustoffkunde I und Bauchemie.--.602411030.--.241.--.BB;Geotechnik I.--.602412040.--.241.--.BB;Kein Datum gef;13;
;4;Baustoffkunde I und Bauchemie.--.602411030.--.241.--.BB;Wirtschaft und Management.--.602411070.--.241.--.BB;Kein Datum gef;93;
;5;Baustoffkunde I und Bauchemie.--.602411030.--.241.--.BB;Bauphysik.--.602411060.--.241.--.BB;Kein Datum gef;95;
;6;Baustoffkunde I und Bauchemie.--.602411030.--.241.--.BB;Mathematik II.--.602412016.--.241.--.BB;Kein Datum gef;1;
;7;Baustoffkunde I und Bauchemie.--.602411030.--.241.--.BB;Mechanik II.--.602412020.--.241.--.BB;Kein Datum gef;12;
;8;Baustoffkunde I und Bauchemie.--.602411030.--.241.--.BB;Baustoffkunde II.--.602412030.--.241.--.BB;Kein Datum gef;15;
;9;Baustoffkunde I und Bauchemie.--.602411030.--.241.--.BB;Mathematik II.--.602412010.--.241.--.BB;Kein Datum gef;12;
;10;Baustoffkunde I und Bauchemie.--.602411030.--.241.--.BB;Recht und Management.--.602412060.--.241.--.BB;Kein Datum gef;13;
;11;Baustoffkunde I und Bauchemie.--.602411030.--.241.--.BB;Mechanik I.--.602411020.--.241.--.BB;Kein Datum gef;89;
;12;Baustoffkunde I und Bauchemie.--.602411030.--.241.--.BB;Mathematik I.--.602411011.--.241.--.BB;Kein Datum gef;3;
Baustoffkunde II.--.601922030.--.192.--.BB;;;;Kein Datum gef;;
;1;Baustoffkunde II.--.601922030.--.192.--.BB;Stahlbau I.--.601923030.--.192.--.BB;Kein Datum gef;2;
;2;Baustoffkunde II.--.601922030.--.192.--.BB;Betoninstandsetzung.--.17260.--.192.--.BB;Kein Datum gef;1;
;3;Baustoffkunde II.--.601922030.--.192.--.BB;Wirtschaft und Management.--.601921070.--.192.--.BB;Kein Datum gef;11;
;4;Baustoffkunde II.--.601922030.--.192.--.BB;Mechanik I.--.601921021.--.192.--.BB;Kein Datum gef;11;
;5;Baustoffkunde II.--.601922030.--.192.--.BB;Mechanik I.--.601921020.--.192.--.BB;Kein Datum gef;1;
;6;Baustoffkunde II.--.601922030.--.192.--.BB;Wirtschaft, Recht ud Management 2.--.601922060.--.192.--.BB;Kein Datum gef;15;
;7;Baustoffkunde II.--.601922030.--.192.--.BB;Mathematik I.--.601921011.--.192.--.BB;Kein Datum gef;7;
;8;Baustoffkunde II.--.601922030.--.192.--.BB;Mathematik I.--.601921010.--.192.--.BB;Kein Datum gef;1;
;9;Baustoffkunde II.--.601922030.--.192.--.BB;Baustoffkunde I und Bauchemie.--.601921030.--.192.--.BB;Kein Datum gef;3;
;10;Baustoffkunde II.--.601922030.--.192.--.BB;Mechanik II.--.601922021.--.192.--.BB;Kein Datum gef;18;
;11;Baustoffkunde II.--.601922030.--.192.--.BB;Geotechnik II.--.601923020.--.192.--.BB;Kein Datum gef;3;
;12;Baustoffkunde II.--.601922030.--.192.--.BB;Bauphysik.--.601921060.--.192.--.BB;Kein Datum gef;2;
;13;Baustoffkunde II.--.601922030.--.192.--.BB;Mechanik II.--.601922020.--.192.--.BB;Kein Datum gef;5;
;14;Baustoffkunde II.--.601922030.--.192.--.BB;Mathematik II.--.601922010.--.192.--.BB;Kein Datum gef;22;
;15;Baustoffkunde II.--.601922030.--.192.--.BB;Vermessungskunde.--.601921050.--.192.--.BB;Kein Datum gef;3;
;16;Baustoffkunde II.--.601922030.--.192.--.BB;Bauproduktionstechnik.--.601923060.--.192.--.BB;Kein Datum gef;1;
;17;Baustoffkunde II.--.601922030.--.192.--.BB;Wasserwesen.--.601923050.--.192.--.BB;Kein Datum gef;1;
;18;Baustoffkunde II.--.601922030.--.192.--.BB;Baubetriebsplanung.--.601924070.--.192.--.BB;Kein Datum gef;1;
;19;Baustoffkunde II.--.601922030.--.192.--.BB;Geotechnik I.--.601922040.--.192.--.BB;Kein Datum gef;21;
;20;Baustoffkunde II.--.601922030.--.192.--.BB;Baubetriebswirtschaft I.--.601926040.--.192.--.BB;Kein Datum gef;1;
Baustoffkunde II.--.602412030.--.241.--.BB;;;;Kein Datum gef;;
;1;Baustoffkunde II.--.602412030.--.241.--.BB;Vermessungskunde.--.602411050.--.241.--.BB;Kein Datum gef;9;
;2;Baustoffkunde II.--.602412030.--.241.--.BB;Mathematik I.--.602411010.--.241.--.BB;Kein Datum gef;13;
;3;Baustoffkunde II.--.602412030.--.241.--.BB;Geotechnik I.--.602412040.--.241.--.BB;Kein Datum gef;30;
;4;Baustoffkunde II.--.602412030.--.241.--.BB;Wirtschaft und Management.--.602411070.--.241.--.BB;Kein Datum gef;11;
;5;Baustoffkunde II.--.602412030.--.241.--.BB;Bauphysik.--.602411060.--.241.--.BB;Kein Datum gef;8;
;6;Baustoffkunde II.--.602412030.--.241.--.BB;Mechanik II.--.602412020.--.241.--.BB;Kein Datum gef;29;
;7;Baustoffkunde II.--.602412030.--.241.--.BB;Mechanik I.--.602411021.--.241.--.BB;Kein Datum gef;1;
;8;Baustoffkunde II.--.602412030.--.241.--.BB;Mathematik II.--.602412010.--.241.--.BB;Kein Datum gef;26;
;9;Baustoffkunde II.--.602412030.--.241.--.BB;Baustoffkunde I und Bauchemie.--.602411030.--.241.--.BB;Kein Datum gef;15;
;10;Baustoffkunde II.--.602412030.--.241.--.BB;Recht und Management.--.602412060.--.241.--.BB;Kein Datum gef;28;
;11;Baustoffkunde II.--.602412030.--.241.--.BB;Mechanik I.--.602411020.--.241.--.BB;Kein Datum gef;12;
;12;Baustoffkunde II.--.602412030.--.241.--.BB;Mathematik I.--.602411011.--.241.--.BB;Kein Datum gef;2;
Baustoffkunde und Bauphysik.--.1030.--.182.--.WBI;;;;Kein Datum gef;;
;1;Baustoffkunde und Bauphysik.--.1030.--.182.--.WBI;Baumanagement 1.--.2040.--.182.--.WBI;Kein Datum gef;1;
;2;Baustoffkunde und Bauphysik.--.1030.--.182.--.WBI;Betriebswirtschaft.--.1050.--.182.--.WBI;Kein Datum gef;1;
;3;Baustoffkunde und Bauphysik.--.1030.--.182.--.WBI;Volkswirtschaft + Recht 1.--.1040.--.182.--.WBI;Kein Datum gef;1;
;4;Baustoffkunde und Bauphysik.--.1030.--.182.--.WBI;Rechnungswesen.--.2050.--.182.--.WBI;Kein Datum gef;1;
Baustoffkunde und Bauphysik.--.642011030.--.201.--.WBI;;;;Kein Datum gef;;
;1;Baustoffkunde und Bauphysik.--.642011030.--.201.--.WBI;Volkswirtschaft + Recht 1.--.642011040.--.201.--.WBI;Kein Datum gef;45;
;2;Baustoffkunde und Bauphysik.--.642011030.--.201.--.WBI;Baumanagement 1.--.642012040.--.201.--.WBI;Kein Datum gef;6;
;3;Baustoffkunde und Bauphysik.--.642011030.--.201.--.WBI;Geotechnik und Vermessung.--.642012030.--.201.--.WBI;Kein Datum gef;13;
;4;Baustoffkunde und Bauphysik.--.642011030.--.201.--.WBI;Betriebswirtschaft.--.642011050.--.201.--.WBI;Kein Datum gef;44;
;5;Baustoffkunde und Bauphysik.--.642011030.--.201.--.WBI;Rechnungswesen.--.642012050.--.201.--.WBI;Kein Datum gef;5;
;6;Baustoffkunde und Bauphysik.--.642011030.--.201.--.WBI;Mechanik I.--.642011022.--.201.--.WBI;Kein Datum gef;1;
;7;Baustoffkunde und Bauphysik.--.642011030.--.201.--.WBI;Mathematik I.--.642011011.--.201.--.WBI;Kein Datum gef;9;
;8;Baustoffkunde und Bauphysik.--.642011030.--.201.--.WBI;Mathematik II.--.642012010.--.201.--.WBI;Kein Datum gef;11;
;9;Baustoffkunde und Bauphysik.--.642011030.--.201.--.WBI;Mechanik I.--.642011021.--.201.--.WBI;Kein Datum gef;11;
;10;Baustoffkunde und Bauphysik.--.642011030.--.201.--.WBI;Mathematik I.--.642011010.--.201.--.WBI;Kein Datum gef;43;
;11;Baustoffkunde und Bauphysik.--.642011030.--.201.--.WBI;Mechanik I.--.642011020.--.201.--.WBI;Kein Datum gef;32;
;12;Baustoffkunde und Bauphysik.--.642011030.--.201.--.WBI;Mechanik II.--.642012020.--.201.--.WBI;Kein Datum gef;7;
